E-Tag,resource,last modified
b4b32190-4549-11ec-b467-dd7b4195b7f7,file.pp,"Sat, 13 Nov 2021 23:55:42 IST"
b4b32191-4549-11ec-b467-dd7b4195b7f7,abhay.png,"Sun, 14 Nov 2021 17:59:17 IST"
b4b32192-4549-11ec-b467-dd7b4195b7f7,add.py,"Sun, 14 Nov 2021 13:28:57 IST"
b4b32193-4549-11ec-b467-dd7b4195b7f7,developerlogFiles,"Sun, 14 Nov 2021 09:11:27 IST"
b4b32194-4549-11ec-b467-dd7b4195b7f7,developerlogFiles/developerlogfile2.gz,"Fri, 12 Nov 2021 22:51:35 IST"
b4b32195-4549-11ec-b467-dd7b4195b7f7,developerlogFiles/developerlogfile1.gz,"Tue, 09 Nov 2021 20:07:28 IST"
b4b32196-4549-11ec-b467-dd7b4195b7f7,developerlogFiles/developerlogfile3.gz,"Sun, 14 Nov 2021 09:11:27 IST"
b4b32197-4549-11ec-b467-dd7b4195b7f7,photo.jpg,"Sat, 13 Nov 2021 23:55:42 IST"
b4b32198-4549-11ec-b467-dd7b4195b7f7,audio.mp3,"Sat, 13 Nov 2021 23:55:42 IST"
b4b32199-4549-11ec-b467-dd7b4195b7f7,getEtag.py,"Sun, 14 Nov 2021 09:22:10 IST"
b4b3219a-4549-11ec-b467-dd7b4195b7f7,__pycache__,"Sun, 14 Nov 2021 17:52:38 IST"
b4b3219b-4549-11ec-b467-dd7b4195b7f7,__pycache__/config.cpython-39.pyc,"Sun, 14 Nov 2021 17:52:38 IST"
b4b3219c-4549-11ec-b467-dd7b4195b7f7,__pycache__/getEtag.cpython-39.pyc,"Sun, 14 Nov 2021 09:33:10 IST"
b4b3219d-4549-11ec-b467-dd7b4195b7f7,__pycache__/add.cpython-39.pyc,"Sun, 14 Nov 2021 13:37:25 IST"
b4b3219e-4549-11ec-b467-dd7b4195b7f7,video.mp4,"Sat, 13 Nov 2021 23:55:42 IST"
b4b3219f-4549-11ec-b467-dd7b4195b7f7,sample.pdf,"Sat, 13 Nov 2021 23:55:42 IST"
b4b321a0-4549-11ec-b467-dd7b4195b7f7,image.jpeg,"Sat, 13 Nov 2021 23:55:42 IST"
b4b321a1-4549-11ec-b467-dd7b4195b7f7,testing2.py,"Sun, 14 Nov 2021 18:04:24 IST"
b4b321a2-4549-11ec-b467-dd7b4195b7f7,README.md,"Sat, 13 Nov 2021 23:55:42 IST"
b4b321a3-4549-11ec-b467-dd7b4195b7f7,forbidden.txt,"Sun, 14 Nov 2021 12:11:45 IST"
b4b321a4-4549-11ec-b467-dd7b4195b7f7,etag.csv,"Sun, 14 Nov 2021 18:22:20 IST"
b4b321a5-4549-11ec-b467-dd7b4195b7f7,index.html,"Sun, 14 Nov 2021 13:08:35 IST"
b4b321a6-4549-11ec-b467-dd7b4195b7f7,debuglogFiles,"Sun, 14 Nov 2021 09:11:27 IST"
b4b321a7-4549-11ec-b467-dd7b4195b7f7,debuglogFiles/debuglogfile6.gz,"Sun, 14 Nov 2021 09:11:27 IST"
b4b321a8-4549-11ec-b467-dd7b4195b7f7,debuglogFiles/debuglogfile2.gz,"Mon, 08 Nov 2021 20:10:47 IST"
b4b321a9-4549-11ec-b467-dd7b4195b7f7,debuglogFiles/debuglogfile3.gz,"Wed, 10 Nov 2021 12:26:41 IST"
b4b321aa-4549-11ec-b467-dd7b4195b7f7,debuglogFiles/debuglogfile1.gz,"Fri, 05 Nov 2021 13:07:55 IST"
